,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.011722373962402343,0.0018762730589380297,1.1014853954315185,0.07313595051582547,euclidean,19,distance,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.6031812473838426,0.5998325659271662,0.6107157806613646,0.60569275847635,0.6063651591289783,0.6051575023155402,0.0036027745808384177,6
18,0.01247110366821289,0.002419216621272106,1.2632895946502685,0.06399968012987499,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.6031812473838426,0.6073670992046881,0.6153202176642947,0.6119715362076182,0.6076214405360134,0.6090923081992914,0.004175098752127482,1
19,0.01361708641052246,0.0033187490336438145,1.0011252880096435,0.04399298599720813,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.6019254918375889,0.6010883214734198,0.6136458769359565,0.60569275847635,0.6072026800670016,0.6059110257580633,0.004487469029477346,3
20,0.009501981735229491,0.0016448735594671684,1.615844488143921,0.04702821234835819,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.579321892005023,0.5583926329007953,0.5860192549183759,0.5730431142737548,0.5967336683417085,0.5787021124879315,0.01283402453163817,52
21,0.010903501510620117,0.0014003219158500587,1.5741066932678223,0.05630865710347646,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.5822519882796149,0.5550439514441189,0.5805776475512767,0.5676015069066555,0.5933835845896147,0.5757717357542561,0.01320349470573923,55
22,0.011501502990722657,0.0005082856060444966,2.167994165420532,0.06351822257002546,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5989953955629971,0.5730431142737548,0.5893679363750524,0.5960652992884052,0.6046901172529313,0.5924323725506282,0.010879869838663162,39
23,0.011415195465087891,0.0003482630187679977,1.9850468158721923,0.07225446394606795,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.5977396400167434,0.5655085809962327,0.5818334030975304,0.5935537881958979,0.602177554438861,0.5881625933490531,0.013194444770601778,44
24,0.011346721649169922,0.0005481895836840867,2.142287588119507,0.09435211564870744,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.594390958560067,0.5851820845542067,0.5964838844704897,0.5918794474675596,0.6109715242881072,0.595781579868086,0.008493967377384887,32
25,0.011612701416015624,0.000836374324700619,2.0303802490234375,0.06919861548363535,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.5973210548346588,0.5797404771871075,0.5897865215571368,0.586856425282545,0.6126465661641541,0.5932702090051204,0.011208736874703482,36
26,0.011195945739746093,0.0004028775505967663,2.147652101516724,0.05491453100090893,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.5910422771033905,0.5989953955629971,0.5977396400167434,0.5998325659271662,0.6176716917922948,0.6010563140805184,0.008866757971302609,13
