,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,0.0037276744842529297,0.001098321654956525,0.342618465423584,0.009423130598413354,manhattan,15,uniform,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.679782335705316,0.6814566764336543,0.6726663876098786,0.691084135621599,0.6779731993299832,0.6805925469400862,0.006019328512700365,13
33,0.002997732162475586,0.0006289476983196255,0.23307342529296876,0.017360088305549803,manhattan,15,distance,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.6827124319799079,0.675177898702386,0.6697362913352868,0.6860611134365844,0.6788107202680067,0.6784996911444343,0.005707022214532157,24
34,0.00423283576965332,0.001190855790052231,0.38236227035522463,0.05717134202635339,manhattan,17,uniform,"{'metric': 'manhattan', 'n_neighbors': 17, 'weights': 'uniform'}",0.6935956467141063,0.675177898702386,0.6739221431561323,0.6927584763499373,0.673785594639866,0.6818479519124856,0.00926668803523099,12
35,0.0029801845550537108,0.000943205949373213,0.289503812789917,0.05320941480616749,manhattan,17,distance,"{'metric': 'manhattan', 'n_neighbors': 17, 'weights': 'distance'}",0.6864796986186689,0.6726663876098786,0.6739221431561323,0.691084135621599,0.6754606365159129,0.6799226003044383,0.007431589849368273,15
36,0.0036098003387451173,0.0004967661639842239,0.35002851486206055,0.026335235992703144,manhattan,19,uniform,"{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'uniform'}",0.6915027208036836,0.6802009208874006,0.675177898702386,0.6881540393470071,0.6762981574539364,0.6822667474388828,0.006482389870486343,11
37,0.003078651428222656,0.00015453117447181128,0.29233722686767577,0.05291577085394043,manhattan,19,distance,"{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'distance'}",0.691084135621599,0.6768522394307241,0.6772708246128087,0.6898283800753453,0.6771356783919598,0.6824342516264874,0.006563358068062205,10
38,0.0036020755767822267,0.0011893389974035444,0.354848051071167,0.02271592262849637,manhattan,21,uniform,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}",0.6906655504395144,0.6848053578903307,0.6772708246128087,0.6906655504395144,0.681323283082077,0.6849461132928492,0.005243637853450335,4
39,0.0027894973754882812,0.0004230805771613861,0.22572360038757325,0.014640175588840069,manhattan,21,distance,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'distance'}",0.6894097948932608,0.683549602344077,0.6747593135203014,0.6889912097111762,0.6792294807370184,0.6831878802411667,0.005643250151422995,8
40,0.0026235103607177733,0.0010171631853221565,0.8288238048553467,0.10926893264178486,cosine,3,uniform,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'uniform'}",0.6429468396818753,0.6375052323147761,0.6320636249476769,0.6488070322310591,0.6591289782244556,0.6440903414799686,0.009356505078306763,58
41,0.0027778148651123047,0.0007862223315665186,0.7432179927825928,0.03881646851433636,cosine,3,distance,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}",0.6341565508580996,0.6341565508580996,0.6333193804939306,0.6421096693177062,0.6557788944723618,0.6399042092000395,0.00855921501945177,60
42,0.003493642807006836,0.0008834549100477244,0.9940876483917236,0.011555539787051552,cosine,5,uniform,"{'metric': 'cosine', 'n_neighbors': 5, 'weights': 'uniform'}",0.6580159062369192,0.6534114692339891,0.6496442025952281,0.6663876098786103,0.6700167504187605,0.6594951876727014,0.007673989537237392,52
43,0.00340886116027832,0.0004885516172530153,0.9445549964904785,0.04388138971312799,cosine,5,distance,"{'metric': 'cosine', 'n_neighbors': 5, 'weights': 'distance'}",0.6446211804102134,0.6508999581414818,0.6437840100460444,0.6668061950606948,0.6666666666666666,0.6545556020650202,0.010245375300743122,54
44,0.002575588226318359,0.000766466369048004,0.9462820529937744,0.06817556830154313,cosine,7,uniform,"{'metric': 'cosine', 'n_neighbors': 7, 'weights': 'uniform'}",0.6718292172457095,0.6663876098786103,0.6542486395981583,0.6856425282544998,0.673785594639866,0.6703787179233688,0.010225488088816346,45
45,0.003614997863769531,0.0010094864342353744,0.9343071937561035,0.05274281744515316,cosine,7,distance,"{'metric': 'cosine', 'n_neighbors': 7, 'weights': 'distance'}",0.6567601506906655,0.6609460025115111,0.6488070322310591,0.6776894097948932,0.6716917922948074,0.6631788775045873,0.010351434555521833,48
46,0.003199338912963867,0.000744588268941712,0.8971537113189697,0.04028068939864391,cosine,9,uniform,"{'metric': 'cosine', 'n_neighbors': 9, 'weights': 'uniform'}",0.6793637505232315,0.6676433654248639,0.6622017580577647,0.6877354541649225,0.6758793969849246,0.6745647450311415,0.008932807902529179,37
47,0.002601909637451172,0.0008223480377945008,0.9210037231445313,0.06880477723240669,cosine,9,distance,"{'metric': 'cosine', 'n_neighbors': 9, 'weights': 'distance'}",0.6663876098786103,0.6663876098786103,0.6500627877773126,0.6760150690665551,0.6712730318257957,0.6660252216853768,0.008745267390350328,47
48,0.0028120040893554687,0.000741074312122446,0.9771960258483887,0.050146341320429215,cosine,11,uniform,"{'metric': 'cosine', 'n_neighbors': 11, 'weights': 'uniform'}",0.6860611134365844,0.6659690246965257,0.6705734616994559,0.6802009208874006,0.6796482412060302,0.6764905523851994,0.007225620790443583,30
49,0.0033959388732910157,0.0011971374645171355,0.9339858055114746,0.08130901420882591,cosine,11,distance,"{'metric': 'cosine', 'n_neighbors': 11, 'weights': 'distance'}",0.6776894097948932,0.6642946839681875,0.660108832147342,0.6827124319799079,0.6800670016750419,0.6729744719130745,0.009035772122700413,41
50,0.0021352767944335938,0.0004525427565570634,1.0494442462921143,0.04913453830858312,cosine,13,uniform,"{'metric': 'cosine', 'n_neighbors': 13, 'weights': 'uniform'}",0.6827124319799079,0.6634575136040184,0.6776894097948932,0.6915027208036836,0.6788107202680067,0.6788345592901021,0.009091597026153175,22
51,0.0023796558380126953,0.0004993953825797536,0.962940788269043,0.09607591066701826,cosine,13,distance,"{'metric': 'cosine', 'n_neighbors': 13, 'weights': 'distance'}",0.6747593135203014,0.6647132691502721,0.663876098786103,0.683549602344077,0.6800670016750419,0.6733930570951591,0.007943233831285904,40
52,0.0026458263397216796,0.0008275868815466561,1.0109630584716798,0.053611467995184875,cosine,15,uniform,"{'metric': 'cosine', 'n_neighbors': 15, 'weights': 'uniform'}",0.679782335705316,0.6684805357890331,0.6768522394307241,0.6927584763499373,0.6754606365159129,0.6786668447581847,0.007964318617095734,23
53,0.0035376548767089844,0.000730013006006082,0.9323408126831054,0.048113900857259195,cosine,15,distance,"{'metric': 'cosine', 'n_neighbors': 15, 'weights': 'distance'}",0.6743407283382168,0.6663876098786103,0.6684805357890331,0.6923398911678527,0.6758793969849246,0.6754856324317274,0.00913649042905929,35
54,0.00293583869934082,0.0008415402655166097,0.9663018226623535,0.021447381140328542,cosine,17,uniform,"{'metric': 'cosine', 'n_neighbors': 17, 'weights': 'uniform'}",0.6739221431561323,0.6663876098786103,0.6827124319799079,0.6915027208036836,0.6746231155778895,0.6778296042792447,0.008570474665150693,25
55,0.00240631103515625,0.00048428114211651455,0.9287010192871094,0.03203644209332045,cosine,17,distance,"{'metric': 'cosine', 'n_neighbors': 17, 'weights': 'distance'}",0.6709920468815403,0.6651318543323567,0.6718292172457095,0.6902469652574299,0.6838358458961474,0.6764071859226368,0.009210202077586663,31
56,0.0029972076416015627,0.0012726658637902892,1.0523094177246093,0.050844502483106256,cosine,19,uniform,"{'metric': 'cosine', 'n_neighbors': 19, 'weights': 'uniform'}",0.6806195060694852,0.6655504395144412,0.6814566764336543,0.6952699874424445,0.6775544388609716,0.6800902096641993,0.00949113364238309,14
57,0.0021828174591064452,0.00037943684596343724,0.9387670516967773,0.05555693601083641,cosine,19,distance,"{'metric': 'cosine', 'n_neighbors': 19, 'weights': 'distance'}",0.6755964838844705,0.6676433654248639,0.672247802427794,0.6915027208036836,0.6817420435510888,0.6777464832183802,0.008271995546394679,26
58,0.002383852005004883,0.00047642887279008276,1.0216988563537597,0.04319840427727801,cosine,21,uniform,"{'metric': 'cosine', 'n_neighbors': 21, 'weights': 'uniform'}",0.6814566764336543,0.6718292172457095,0.6806195060694852,0.6965257429886982,0.6859296482412061,0.6832721581957507,0.008049760221561356,7
59,0.002807807922363281,0.0007571717099542611,0.9127623081207276,0.05261172543939819,cosine,21,distance,"{'metric': 'cosine', 'n_neighbors': 21, 'weights': 'distance'}",0.675177898702386,0.6684805357890331,0.6730849727919631,0.69485140226036,0.6871859296482412,0.6797561478383967,0.009753693992995619,16
