mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.017850303649902345,0.00037003781972073046,0.002164602279663086,0.00016122745054344688,entropy,1,18,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 18}",0.6755399296835761,0.67754897036665,0.6423907584128579,0.6413862380713209,0.6743718592964824,0.6622475511661774,0.016657167864477365,191
0.03297567367553711,0.0025939682256231555,0.0021968364715576174,0.00010388151119323742,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.03163967132568359,0.00025302534274905997,0.002114534378051758,2.6924626077545752e-05,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.03160853385925293,0.0002532062511911471,0.002385234832763672,0.000177535740254208,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.03241786956787109,0.0006768494196657031,0.002136707305908203,4.086831055602066e-05,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.031613731384277345,0.00019063903070023827,0.0023335933685302733,0.00015221008078876373,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.03164253234863281,0.0005124797147761537,0.002132272720336914,1.1509075043903801e-05,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.032210254669189455,0.0009914103743417738,0.00228734016418457,0.00020360189508658816,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.031099271774291993,0.00044827312373472164,0.002107715606689453,7.752829646498346e-05,entropy,2,16,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 16}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
0.03108677864074707,0.0007942871161329656,0.0021294116973876952,9.985300275413245e-05,entropy,2,18,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 18}",0.6755399296835761,0.67754897036665,0.6936212958312405,0.6911099949773983,0.6743718592964824,0.6824384100310694,0.008207535712885858,114
